,D10,D11,D20,I10,I20I11_I10,I20_I10,fitting_error,seconds,tif_num,M3_c,M6_c,A51_c,A59_c,M3_i,M6_i,A59_i,A51_i,Sum,peaks,ISI
73,47.26097933061175,27.28613913869403,23.630489665305873,85799.62600016424,0.9708585156821653,0.7678204726016982,0.005559451859534104,0.45,90.0,14.274164864116187,7.328760688879904,5.037156142148463,5.9291681320315766,1097.16892064,730.099704818,159.86346008417905,454.7346964700602,0.006513676606118679,0.0,7.0
74,46.73943638397307,26.98502617805824,23.369718191986536,64742.58728850438,1.03131188441181,0.8137696700948512,0.007835740138478098,0.455,91.0,14.185522210817167,7.236459362356162,5.052597870464409,5.913609226568554,530.156882124,496.77081938,87.2861673131654,243.93964692070833,-0.01228031050413847,0.0,7.0
75,46.629229704549836,26.921398322026743,23.314614852274918,47593.79539013772,0.9901356073600935,0.7753900117749151,0.00913094355766042,0.46,92.0,14.227149890291429,,5.195840668431428,5.919287679055378,254.20787791,,126.99534239808231,232.46251471385585,0.04023782163858414,0.0,7.0
76,46.724896972778886,26.976631845091422,23.362448486389443,59408.35603274462,0.9844943870549441,0.7727432822791385,0.0058330042162138,0.465,93.0,14.244054466196612,,5.0648460804855295,5.846128601360003,608.349500926,,155.9322918917726,284.98003913582863,-0.0206576194614172,0.0,7.0
77,46.46375125873091,26.82585929678811,23.231875629365454,79564.59655382464,0.9726371976667466,0.750294675362851,0.009313078074497105,0.47000000000000003,94.0,14.277805656265555,7.333498306942611,5.133175420481818,5.9616854575718605,618.244761357,565.78409161,178.34981086730158,158.16445214390603,0.011260352097451687,1.0,8.0
78,46.61467163384678,26.912993215987456,23.30733581692339,82622.54740181865,0.9987916923299812,0.8014001290002822,0.002582677286514401,0.47500000000000003,95.0,14.45907290146243,7.306081989653663,5.114050493859431,5.935760765593238,1070.01536956,431.756399678,830.0095682615927,190.09151667050557,-0.015595020726323128,0.0,8.0
79,46.86025748844193,27.054782275247128,23.430128744220966,92941.53212323831,1.1408537773850285,0.928295005436833,0.004430388608061775,0.48,96.0,14.403120248463994,7.305523029208114,5.074589901919403,5.9121955245399604,1611.26560058,688.456275212,1984.5619443064288,575.6823147837097,0.011714105494320393,0.0,8.0
80,47.23750803843395,27.272587981836953,23.618754019216976,92834.13878236362,1.1831753577321227,0.9800994327582526,0.007323549139708008,0.485,97.0,14.492588633237522,7.325575363797258,5.072148923504017,5.926456314290052,1223.73179462,901.132096187,2310.4977952652453,293.5351561996097,0.005021015647798778,0.0,8.0
81,47.723316090911425,27.55306939170931,23.861658045455712,92958.43407237277,1.1237116031969094,0.9144802381799664,0.007624603102195927,0.49,98.0,14.48714280432321,7.326290753903502,5.063994169762342,5.911685194670093,1130.21557311,1059.2778293,2279.6320596633786,610.0361545342348,0.005312601570039988,0.0,8.0
82,47.841583302161474,27.621350997960835,23.920791651080737,85600.53109932135,1.0549590538426465,0.8679547291220551,0.006765809657983124,0.495,99.0,14.455330921281046,7.321680002113003,5.135925943730838,5.901445941538325,1271.04754392,965.783636741,2246.5693315978187,326.0183543149518,0.0027471981011331077,0.0,8.0
83,47.84918110004567,27.625737588614523,23.924590550022835,81638.72468455439,0.9635430062496698,0.7795939758493613,0.0073425491102353515,0.5,100.0,14.444493077090396,7.2968751661645666,5.174765294354085,5.836038663141748,424.992082522,387.747099349,2022.234836781091,124.3473767742786,-0.01275854092091322,0.0,8.0
84,47.60973231550719,27.4874917684041,23.804866157753594,69714.30040601344,1.0920758556387247,0.8920649237154072,0.009433286632406055,0.505,101.0,14.357090174724283,7.325361472591105,5.134065845035537,5.96147369396661,1026.2306232,401.522197873,113.48224941002391,131.69033044167242,-0.01942213997244835,0.0,8.0
